Best fortunes responses per second, Dell R440 Xeon Gold + 10 GbE(464 tests)
Rnk	Framework	Best performance (higher is better)	Errors	Cls	Lng	Plt	FE	Aos	DB	Dos	Orm	IA
1	 drogon-core	616,607	100.0%	0	Ful	C++	Non	Non	Lin	Pg	Lin	Raw	Rea
2	xitca-web	587,955	95.4%	0	Plt	rs	Non	xit	Lin	Pg	Lin	Raw	Rea
3	 drogon	556,046	90.2%	0	Ful	C++	Non	Non	Lin	Pg	Lin	Mcr	Rea
4	salvo [pg]	542,547	88.0%	0	Mcr	rs	rs	hyp	Lin	Pg	Lin	Raw	Rea
5	just-js	538,414	87.3%	0	Plt	JS	jus	Non	Lin	Pg	Lin	Raw	Rea
6	may-minihttp	520,976	84.5%	0	Mcr	rs	rs	may	Lin	Pg	Lin	Raw	Rea
7	 actix-http	512,422	83.1%	0	Plt	rs	Non	act	Lin	Pg	Lin	Raw	Rea
8	axum [postgresql]	498,541	80.9%	0	Ful	rs	rs	hyp	Lin	Pg	Lin	Raw	Rea
9	 aspcore-ado-pg	458,677	74.4%	0	Plt	C#	.NE	kes	Lin	Pg	Lin	Raw	Rea
10	officefloor-sqlclient	432,309	70.1%	0	Plt	Jav	off	woo	Lin	Pg	Lin	Raw	Rea
11	officefloor-async	416,875	67.6%	0	Plt	Jav	off	woo	Lin	Pg	Lin	Raw	Rea
12	jooby-pgclient	404,885	65.7%	0	Ful	Jav	Utw	Non	Lin	Pg	Lin	Raw	Rea
13	 aspcore-mw-ado-pg	395,899	64.2%	0	Mcr	C#	.NE	kes	Lin	Pg	Lin	Raw	Rea
14	asp.net core	394,144	63.9%	0	Mcr	C#	.NE	kes	Lin	Pg	Lin	Mcr	Rea
15	xitca-web [diesel]	393,541	63.8%	0	Mcr	rs	Non	xit	Lin	Pg	Lin	Ful	Rea
16	h2o	391,802	63.5%	0	Plt	C	Non	h2o	Lin	Pg	Lin	Raw	Rea
17	appmpower [middleware, pg, ado]	389,298	63.1%	0	Plt	C#	.NE	kes	Lin	Pg	Lin	Raw	Rea
18	vertx-postgres	386,935	62.8%	0	Plt	Jav	ver	Non	Lin	Pg	Lin	Raw	Rea
19	lithium-postgres	384,760	62.4%	0	Mcr	C++	Non	Non	Lin	Pg	Lin	Ful	Rea
20	lithium-postgres-beta	384,514	62.4%	0	Mcr	C++	Non	Non	Lin	Pg	Lin	Ful	Rea
21	ffead-cpp-postgresql-raw	382,792	62.1%	0	Ful	C++	Non	ffe	Lin	Pg	Lin	Raw	Rea
22	atreugo-prefork	381,480	61.9%	0	Plt	Go	Non	Non	Lin	Pg	Lin	Raw	Rea
23	fasthttp-prefork	379,098	61.5%	0	Plt	Go	Non	Non	Lin	Pg	Lin	Raw	Rea
